franchise_id,tbl_dt,commission_amount,name
2.51E+11,4/9/2023,19400,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,156922,PHONECOM LTD
2.51E+11,4/10/2023,85279,Balthazar
2.51E+11,4/10/2023,8313,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,202706,PHONECOM LTD
2.51E+11,4/10/2023,281411,CITY COM LTD
2.51E+11,4/10/2023,194333,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/10/2023,243833,Barthazal
2.51E+11,4/10/2023,142608,NYUNGWE CELLULAR LTD
2.51E+11,4/10/2023,62732,CITY COM LTD
2.51E+11,4/10/2023,380923,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,227495,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,174760,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,311033,CITY COM LTD
2.51E+11,4/10/2023,17101,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,159916,PHONECOM LTD
2.51E+11,4/11/2023,89536,Balthazar
2.51E+11,4/11/2023,9499,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,177634,PHONECOM LTD
2.51E+11,4/11/2023,322758,CITY COM LTD
2.51E+11,4/11/2023,198378,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/11/2023,260494,Barthazal
2.51E+11,4/11/2023,144744,NYUNGWE CELLULAR LTD
2.51E+11,4/11/2023,66380,CITY COM LTD
2.51E+11,4/11/2023,375866,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,231883,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,177244,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,306961,CITY COM LTD
2.51E+11,4/11/2023,14961,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,163692,PHONECOM LTD
2.51E+11,4/12/2023,87022,Balthazar
2.51E+11,4/12/2023,10491,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,156039,PHONECOM LTD
2.51E+11,4/12/2023,282156,CITY COM LTD
2.51E+11,4/12/2023,224754,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/12/2023,262136,Barthazal
2.51E+11,4/12/2023,147732,NYUNGWE CELLULAR LTD
2.51E+11,4/12/2023,67598,CITY COM LTD
2.51E+11,4/12/2023,369454,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,230636,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,173251,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,298393,CITY COM LTD
2.51E+11,4/12/2023,15357,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,173831,PHONECOM LTD
2.51E+11,4/13/2023,83261,Balthazar
2.51E+11,4/13/2023,7229,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,146489,PHONECOM LTD
2.51E+11,4/13/2023,396173,CITY COM LTD
2.51E+11,4/13/2023,207315,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/13/2023,226346,Barthazal
2.51E+11,4/13/2023,139767,NYUNGWE CELLULAR LTD
2.51E+11,4/13/2023,63512,CITY COM LTD
2.51E+11,4/13/2023,350014,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,219521,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,161566,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,295572,CITY COM LTD
2.51E+11,4/13/2023,17581,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,156484,PHONECOM LTD
2.51E+11,4/14/2023,98144,Balthazar
2.51E+11,4/14/2023,9006,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,157460,PHONECOM LTD
2.51E+11,4/14/2023,315329,CITY COM LTD
2.51E+11,4/14/2023,216737,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/14/2023,255841,Barthazal
2.51E+11,4/14/2023,149536,NYUNGWE CELLULAR LTD
2.51E+11,4/14/2023,68854,CITY COM LTD
2.51E+11,4/14/2023,383811,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,232325,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,181142,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,297177,CITY COM LTD
2.51E+11,4/14/2023,15093,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,186665,PHONECOM LTD
2.51E+11,4/15/2023,88952,Balthazar
2.51E+11,4/15/2023,7957,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,149689,PHONECOM LTD
2.51E+11,4/15/2023,272535,CITY COM LTD
2.51E+11,4/15/2023,193108,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/15/2023,239534,Barthazal
2.51E+11,4/15/2023,144220,NYUNGWE CELLULAR LTD
2.51E+11,4/15/2023,63752,CITY COM LTD
2.51E+11,4/15/2023,362712,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,200739,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,162189,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,267807,CITY COM LTD
2.51E+11,4/15/2023,14851,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,178114,PHONECOM LTD
2.51E+11,4/16/2023,87613,Balthazar
2.51E+11,4/16/2023,6962,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,114076,PHONECOM LTD
2.51E+11,4/16/2023,219273,CITY COM LTD
2.51E+11,4/16/2023,170933,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/16/2023,244043,Barthazal
2.51E+11,4/16/2023,132662,NYUNGWE CELLULAR LTD
2.51E+11,4/16/2023,65617,CITY COM LTD
2.51E+11,4/16/2023,351172,ESCALE FRANCHISEE LTD
