franchise_id,tbl_dt,sell_amount,name
2.51E+11,4/5/2023,13683581,CITY COM LTD
2.51E+11,4/5/2023,9488298,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/5/2023,12972525,Barthazal
2.51E+11,4/5/2023,6968644,NYUNGWE CELLULAR LTD
2.51E+11,4/5/2023,3167908,CITY COM LTD
2.51E+11,4/5/2023,18173753,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,10822671,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,8064357,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,14285654,CITY COM LTD
2.51E+11,4/5/2023,952770,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,7908469,PHONECOM LTD
2.51E+11,4/6/2023,3802694,Balthazar
2.51E+11,4/6/2023,331728,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,6544493,PHONECOM LTD
2.51E+11,4/6/2023,13258103,CITY COM LTD
2.51E+11,4/6/2023,8889246,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/6/2023,10335728,Barthazal
2.51E+11,4/6/2023,5772045,NYUNGWE CELLULAR LTD
2.51E+11,4/6/2023,2789656,CITY COM LTD
2.51E+11,4/6/2023,15410733,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,9216153,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,7035735,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,11877781,CITY COM LTD
2.51E+11,4/6/2023,725030,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,7712703,PHONECOM LTD
2.51E+11,4/7/2023,3635719,Balthazar
2.51E+11,4/7/2023,356286,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,6144994,PHONECOM LTD
2.51E+11,4/7/2023,10954321,CITY COM LTD
2.51E+11,4/7/2023,7397542,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/7/2023,9040146,Barthazal
2.51E+11,4/7/2023,6531694,NYUNGWE CELLULAR LTD
2.51E+11,4/7/2023,2746948,CITY COM LTD
2.51E+11,4/7/2023,15641333,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,9603636,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,6437338,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,11182987,CITY COM LTD
2.51E+11,4/7/2023,851187,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,6387541,PHONECOM LTD
2.51E+11,4/8/2023,4113994,Balthazar
2.51E+11,4/8/2023,397743,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,7446002,PHONECOM LTD
2.51E+11,4/8/2023,13440300,CITY COM LTD
2.51E+11,4/8/2023,9614433,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/8/2023,11883231,Barthazal
2.51E+11,4/8/2023,7122444,NYUNGWE CELLULAR LTD
2.51E+11,4/8/2023,2800072,CITY COM LTD
2.51E+11,4/8/2023,16627291,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,10176185,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,8419768,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,12744815,CITY COM LTD
2.51E+11,4/8/2023,813253,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,7390437,PHONECOM LTD
2.51E+11,4/9/2023,4523616,Balthazar
2.51E+11,4/9/2023,374527,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,6046080,PHONECOM LTD
2.51E+11,4/9/2023,11328062,CITY COM LTD
2.51E+11,4/9/2023,9183248,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/9/2023,12237154,Barthazal
2.51E+11,4/9/2023,6465408,NYUNGWE CELLULAR LTD
2.51E+11,4/9/2023,3457412,CITY COM LTD
2.51E+11,4/9/2023,17567658,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,10936356,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,7494975,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,13829694,CITY COM LTD
2.51E+11,4/9/2023,948610,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,7693103,PHONECOM LTD
2.51E+11,4/10/2023,4167638,Balthazar
2.51E+11,4/10/2023,405591,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,9773063,PHONECOM LTD
2.51E+11,4/10/2023,13656636,CITY COM LTD
2.51E+11,4/10/2023,9482026,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/10/2023,11899744,Barthazal
2.51E+11,4/10/2023,6937367,NYUNGWE CELLULAR LTD
2.51E+11,4/10/2023,3065622,CITY COM LTD
2.51E+11,4/10/2023,18572524,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,11117163,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,8484037,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,15142288,CITY COM LTD
2.51E+11,4/10/2023,835177,ESCALE FRANCHISEE LTD
2.51E+11,4/10/2023,7805441,PHONECOM LTD
2.51E+11,4/11/2023,4369353,Balthazar
2.51E+11,4/11/2023,463866,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,8588725,PHONECOM LTD
2.51E+11,4/11/2023,15610755,CITY COM LTD
2.51E+11,4/11/2023,9665660,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/11/2023,12710498,Barthazal
2.51E+11,4/11/2023,7053966,NYUNGWE CELLULAR LTD
2.51E+11,4/11/2023,3239359,CITY COM LTD
2.51E+11,4/11/2023,18328664,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,11328661,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,8609050,ESCALE FRANCHISEE LTD
